.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi,mean,low,high
3,GLMNET,prediction,11/09/2022,6.849340585,5.858459631,7.840221539,942.2587029,349.1843153,2539.767652
3,GLMNET,prediction,18/09/2022,6.73096115,5.740080196,7.721842104,836.9522767,310.089358,2256.113591
3,GLMNET,prediction,25/09/2022,6.51953274,5.528651786,7.510413694,677.2613869,250.8041961,1825.969193
3,GLMNET,prediction,02/10/2022,6.547518396,5.556637442,7.538399351,696.5110783,257.9506343,1877.820285
3,GLMNET,prediction,09/10/2022,6.360331412,5.369450458,7.351212367,577.4380262,213.744824,1557.084353
3,GLMNET,prediction,16/10/2022,6.374658017,5.383777062,7.365538971,585.784726,216.8435321,1579.567076
3,GLMNET,prediction,23/10/2022,6.314979007,5.324098053,7.305859962,551.790456,204.2231766,1487.999894
3,GLMNET,prediction,30/10/2022,6.162017011,5.171136057,7.152897965,473.3839482,175.1148003,1276.803625
3,GLMNET,prediction,06/11/2022,6.03156479,5.040683836,7.022445744,415.3660453,153.5756833,1120.526232
3,GLMNET,prediction,13/11/2022,6.061948616,5.071067662,7.05282957,428.21099,158.3443625,1155.125457
3,GLMNET,prediction,20/11/2022,5.999956399,5.009075445,6.990837353,402.411204,148.766205,1085.630989
3,GLMNET,prediction,27/11/2022,5.958427919,4.967546965,6.949308873,386.0012485,142.6740173,1041.429029
3,GLMNET,prediction,04/12/2022,5.830086659,4.839205705,6.820967613,339.3881756,125.3689376,915.8717584
3,GLMNET,prediction,11/12/2022,5.919669364,4.92878841,6.910550318,371.2886016,137.2119546,1001.798949
3,GLMNET,prediction,18/12/2022,5.916478431,4.925597477,6.907359385,370.1025468,136.7716324,998.6041845
3,GLMNET,prediction,25/12/2022,5.992155206,5.001274252,6.983036161,399.2763591,147.6023954,1077.186951
4,GLMNET,prediction,06/01/2019,4.982300598,4.222875439,5.741725756,144.8094449,67.22939198,310.6016957
4,GLMNET,prediction,13/01/2019,5.261716331,4.502291172,6.021141489,191.8121368,89.22361252,411.0486764
4,GLMNET,prediction,20/01/2019,5.094015976,4.334590818,5.853441134,162.0433271,75.29373446,347.4313188
4,GLMNET,prediction,27/01/2019,5.064390362,4.304965204,5.823815521,157.2839168,73.06663819,337.2602334
4,GLMNET,prediction,03/02/2019,5.050704699,4.291279541,5.810129857,155.1324521,72.05989183,332.6624514
